Station,Year,Month,Day,Night,DayLimit,NightLimit
BEN09,2017,2,60,54,50,40
BEN09,2017,3,60,56,50,40
BEN09,2017,4,60,57,50,40
BEN09,2017,5,61,57,50,40
BEN09,2017,6,63,59,50,40
BEN09,2017,7,78,75,50,40
BEN09,2017,8,78,83,50,40
BEN09,2017,9,61,57,50,40
BEN09,2017,10,60,55,50,40
BEN09,2017,11,61,57,50,40
BEN09,2017,12,61,57,50,40
BEN10,2017,1,63,59,55,45
BEN10,2017,2,65,58,55,45
BEN10,2017,3,63,56,55,45
BEN10,2017,4,62,56,55,45
BEN10,2017,5,63,60,55,45
BEN10,2017,6,66,62,55,45
BEN10,2017,7,66,61,55,45
BEN10,2017,8,64,59,55,45
BEN10,2017,9,64,58,55,45
BEN10,2017,10,64,54,55,45
BEN10,2017,11,83,77,55,45
BEN10,2017,12,69,59,55,45
CHE01,2017,1,64,57,50,40
CHE01,2017,2,62,56,50,40
CHE01,2017,3,66,63,50,40
CHE01,2017,4,70,61,50,40
CHE01,2017,5,69,60,50,40
CHE01,2017,6,69,63,50,40
CHE01,2017,7,68,64,50,40
CHE01,2017,8,68,61,50,40
CHE01,2017,9,66,58,50,40
CHE01,2017,10,67,59,50,40
CHE01,2017,11,67,68,50,40
CHE01,2017,12,68,61,50,40
CHE02,2017,1,75,65,75,70
CHE02,2017,2,75,65,75,70
CHE02,2017,3,75,66,75,70
CHE02,2017,4,75,67,75,70
CHE02,2017,5,76,69,75,70
CHE02,2017,6,75,70,75,70
CHE02,2017,7,75,68,75,70
CHE02,2017,8,75,68,75,70
CHE02,2017,9,75,67,75,70
CHE02,2017,10,75,68,75,70
CHE02,2017,11,75,63,75,70
CHE02,2017,12,74,65,75,70
CHE03,2017,1,76,79,65,55
CHE03,2017,2,73,73,65,55
CHE03,2017,3,71,71,65,55
CHE03,2017,4,81,83,65,55
CHE03,2017,5,76,77,65,55
CHE03,2017,6,74,76,65,55
CHE03,2017,7,77,79,65,55
CHE03,2017,8,78,78,65,55
CHE03,2017,9,69,69,65,55
CHE03,2017,10,69,68,65,55
CHE03,2017,11,71,72,65,55
CHE03,2017,12,74,77,65,55
CHE04,2017,1,76,72,65,55
CHE04,2017,2,76,73,65,55
CHE04,2017,3,75,70,65,55
CHE04,2017,4,76,71,65,55
CHE04,2017,5,76,72,65,55
CHE04,2017,6,76,73,65,55
CHE04,2017,7,76,73,65,55
CHE04,2017,8,76,73,65,55
CHE04,2017,9,76,73,65,55
CHE04,2017,10,76,73,65,55
CHE04,2017,11,76,72,65,55
CHE04,2017,12,76,73,65,55
CHE05,2017,1,69,63,55,45
CHE05,2017,2,65,51,55,45
CHE05,2017,3,51,51,55,45
CHE05,2017,4,51,52,55,45
CHE05,2017,5,52,52,55,45
CHE05,2017,6,68,60,55,45
CHE05,2017,7,65,64,55,45
CHE05,2017,8,67,60,55,45
CHE05,2017,9,57,57,55,45
CHE05,2017,10,86,55,55,45
CHE05,2017,11,55,56,55,45
CHE05,2017,12,53,55,55,45
CHE06,2017,1,73,67,65,55
CHE06,2017,2,73,67,65,55
CHE06,2017,3,73,66,65,55
CHE06,2017,4,75,69,65,55
CHE06,2017,5,78,71,65,55
CHE06,2017,6,75,71,65,55
CHE06,2017,7,79,77,65,55
CHE06,2017,8,87,88,65,55
CHE06,2017,9,79,80,65,55
CHE06,2017,10,79,81,65,55
CHE06,2017,11,73,72,65,55
CHE06,2017,12,74,74,65,55
CHE07,2017,1,66,62,55,45
CHE07,2017,2,66,57,55,45
CHE07,2017,3,70,58,55,45
CHE07,2017,4,70,61,55,45
CHE07,2017,5,69,60,55,45
CHE07,2017,6,69,62,55,45
CHE07,2017,7,71,67,55,45
CHE07,2017,8,67,68,55,45
CHE07,2017,9,68,66,55,45
CHE07,2017,10,71,71,55,45
CHE07,2017,11,87,82,55,45
CHE07,2017,12,78,77,55,45
CHE08,2017,1,71,64,65,55
CHE08,2017,2,71,63,65,55
CHE08,2017,3,70,63,65,55
CHE08,2017,4,72,65,65,55
CHE08,2017,5,70,65,65,55
CHE08,2017,6,71,67,65,55
CHE08,2017,7,71,65,65,55
CHE08,2017,8,71,64,65,55
CHE08,2017,9,69,66,65,55
CHE08,2017,10,71,64,65,55
CHE08,2017,11,73,66,65,55
CHE08,2017,12,77,73,65,55
CHE09,2017,1,66,57,50,40
CHE09,2017,2,64,54,50,40
CHE09,2017,3,66,59,50,40
CHE09,2017,4,68,63,50,40
CHE09,2017,5,67,62,50,40
CHE09,2017,6,66,64,50,40
CHE09,2017,7,65,62,50,40
CHE09,2017,8,64,60,50,40
CHE09,2017,9,64,58,50,40
CHE09,2017,10,64,58,50,40
CHE09,2017,11,66,57,50,40
CHE09,2017,12,67,57,50,40
CHE10,2017,1,67,61,55,45
CHE10,2017,2,66,64,55,45
CHE10,2017,3,77,63,55,45
CHE10,2017,4,70,65,55,45
CHE10,2017,5,67,61,55,45
CHE10,2017,6,71,80,55,45
CHE10,2017,7,66,62,55,45
CHE10,2017,8,66,61,55,45
CHE10,2017,9,66,59,55,45
CHE10,2017,10,67,60,55,45
CHE10,2017,11,65,60,55,45
CHE10,2017,12,65,59,55,45
DEL01,2017,1,53,53,50,40
DEL01,2017,2,58,53,50,40
DEL01,2017,3,53,53,50,40
DEL01,2017,4,53,53,50,40
DEL01,2017,5,53,53,50,40
DEL01,2017,6,53,53,50,40
DEL01,2017,7,53,53,50,40
DEL01,2017,8,53,53,50,40
DEL01,2017,9,55,53,50,40
DEL01,2017,10,53,53,50,40
DEL01,2017,11,53,52,50,40
DEL01,2017,12,53,52,50,40
DEL02,2017,1,65,55,65,55
DEL02,2017,2,66,56,65,55
DEL02,2017,3,65,56,65,55
DEL02,2017,4,65,57,65,55
DEL02,2017,5,65,58,65,55
DEL02,2017,6,65,58,65,55
DEL02,2017,7,66,57,65,55
DEL02,2017,8,66,56,65,55
DEL02,2017,9,66,60,65,55
DEL02,2017,10,66,58,65,55
DEL02,2017,11,66,56,65,55
DEL02,2017,12,65,55,65,55
DEL03,2017,1,54,49,50,40
DEL03,2017,2,59,54,50,40
DEL03,2017,3,56,51,50,40
DEL03,2017,4,55,51,50,40
DEL03,2017,5,56,51,50,40
DEL03,2017,6,58,54,50,40
DEL03,2017,7,56,55,50,40
DEL03,2017,8,56,57,50,40
DEL03,2017,9,58,55,50,40
DEL03,2017,10,54,50,50,40
DEL03,2017,11,53,47,50,40
DEL03,2017,12,53,48,50,40
DEL04,2017,1,71,66,65,55
DEL04,2017,2,71,67,65,55
DEL04,2017,3,71,67,65,55
DEL04,2017,4,71,67,65,55
DEL04,2017,5,71,67,65,55
DEL04,2017,6,71,67,65,55
DEL04,2017,7,71,67,65,55
DEL04,2017,8,71,66,65,55
DEL04,2017,9,73,68,65,55
DEL04,2017,10,72,68,65,55
DEL04,2017,11,73,68,65,55
DEL04,2017,12,73,68,65,55
DEL05,2017,1,57,53,50,40
DEL05,2017,2,58,54,50,40
DEL05,2017,3,58,53,50,40
DEL05,2017,4,57,54,50,40
DEL05,2017,5,57,53,50,40
DEL05,2017,6,57,55,50,40
DEL05,2017,7,56,56,50,40
DEL05,2017,8,57,54,50,40
DEL05,2017,9,57,53,50,40
DEL05,2017,10,57,54,50,40
DEL05,2017,11,57,54,50,40
DEL05,2017,12,58,55,50,40
DEL06,2017,1,67,75,65,55
DEL06,2017,2,62,60,65,55
DEL06,2017,3,61,59,65,55
DEL06,2017,4,64,63,65,55
DEL06,2017,5,63,62,65,55
DEL06,2017,6,64,63,65,55
DEL06,2017,7,64,62,65,55
DEL06,2017,8,62,60,65,55
DEL06,2017,9,62,58,65,55
DEL06,2017,10,62,58,65,55
DEL06,2017,11,78,73,65,55
DEL06,2017,12,61,58,65,55
DEL07,2017,1,59,50,50,40
DEL07,2017,2,62,52,50,40
DEL07,2017,3,60,52,50,40
DEL07,2017,4,62,53,50,40
DEL07,2017,5,61,55,50,40
DEL07,2017,6,61,55,50,40
DEL07,2017,7,62,54,50,40
DEL07,2017,8,62,54,50,40
DEL07,2017,9,62,52,50,40
DEL07,2017,10,59,52,50,40
DEL07,2017,11,70,69,50,40
DEL07,2017,12,60,52,50,40
DEL08,2017,1,67,63,65,55
DEL08,2017,2,67,63,65,55
DEL08,2017,3,67,64,65,55
DEL08,2017,4,68,64,65,55
DEL08,2017,5,68,66,65,55
DEL08,2017,6,69,66,65,55
DEL08,2017,7,72,67,65,55
DEL08,2017,8,68,66,65,55
DEL08,2017,9,69,65,65,55
DEL08,2017,10,68,65,65,55
DEL08,2017,11,67,64,65,55
DEL08,2017,12,67,63,65,55
DEL09,2017,1,82,48,50,40
DEL09,2017,2,58,48,50,40
DEL09,2017,3,58,49,50,40
DEL09,2017,4,60,51,50,40
DEL09,2017,5,56,50,50,40
DEL09,2017,6,56,53,50,40
DEL09,2017,7,60,49,50,40
DEL09,2017,8,59,48,50,40
DEL09,2017,9,56,48,50,40
DEL09,2017,10,56,52,50,40
DEL09,2017,11,69,48,50,40
DEL09,2017,12,60,48,50,40
DEL10,2017,1,58,51,55,45
DEL10,2017,2,60,52,55,45
DEL10,2017,3,59,51,55,45
DEL10,2017,4,62,54,55,45
DEL10,2017,5,59,54,55,45
DEL10,2017,6,59,55,55,45
DEL10,2017,7,60,53,55,45
DEL10,2017,8,62,69,55,45
DEL10,2017,9,72,58,55,45
DEL10,2017,10,75,78,55,45
DEL10,2017,11,58,51,55,45
DEL10,2017,12,58,51,55,45
HYD01,2017,1,74,65,65,55
HYD01,2017,2,73,66,65,55
HYD01,2017,3,74,66,65,55
HYD01,2017,4,73,65,65,55
HYD01,2017,5,73,65,65,55
HYD01,2017,6,75,70,65,55
HYD01,2017,7,75,68,65,55
HYD01,2017,8,75,67,65,55
HYD01,2017,9,74,67,65,55
HYD01,2017,10,74,66,65,55
HYD01,2017,11,74,65,65,55
HYD01,2017,12,75,66,65,55
HYD02,2017,1,60,54,75,70
HYD02,2017,2,60,54,75,70
HYD02,2017,3,60,53,75,70
HYD02,2017,4,60,55,75,70
HYD02,2017,5,60,55,75,70
HYD02,2017,6,61,58,75,70
HYD02,2017,7,61,55,75,70
HYD02,2017,8,60,54,75,70
HYD02,2017,9,65,58,75,70
HYD02,2017,10,62,56,75,70
HYD02,2017,11,61,56,75,70
HYD02,2017,12,62,56,75,70
HYD03,2017,1,71,63,55,45
HYD03,2017,2,71,64,55,45
HYD03,2017,3,71,64,55,45
